File,0,DTCreated
sql/core/src/main/scala/org/apache/spark/sql/DataFrameNaFunctions.scala,SPARK-30065,2019-11-28 00:29:00
sql/core/src/main/scala/org/apache/spark/sql/execution/exchange/EnsureRequirements.scala,SPARK-30074,2019-11-29 05:44:00
common/kvstore/src/test/java/org/apache/spark/util/kvstore/ArrayKeyIndexType.java,SPARK-30075,2019-11-29 06:46:00
sql/core/src/test/resources/sql-tests/results/literals.sql.out,SPARK-30083,2019-11-29 18:23:00
sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/dsl/package.scala,SPARK-30083,2019-11-29 18:23:00
sql/core/src/test/resources/sql-tests/inputs/literals.sql,SPARK-30083,2019-11-29 18:23:00
sql/core/src/test/resources/sql-tests/results/operators.sql.out,SPARK-30083,2019-11-29 18:23:00
sql/core/src/test/resources/sql-tests/results/ansi/literals.sql.out,SPARK-30083,2019-11-29 18:23:00
sql/core/src/test/resources/sql-tests/results/typeCoercion/native/promoteStrings.sql.out,SPARK-30083,2019-11-29 18:23:00
sql/core/src/main/scala/org/apache/spark/sql/execution/command/views.scala,SPARK-30093,2019-12-02 03:02:00
sql/core/src/test/scala/org/apache/spark/sql/execution/SQLViewSuite.scala,SPARK-30093,2019-12-02 03:02:00
sql/core/src/test/resources/sql-tests/results/postgreSQL/create_view.sql.out,SPARK-30093,2019-12-02 03:02:00
sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/analysis/ResolveCatalogs.scala,SPARK-30094,2019-12-02 03:46:00
sql/catalyst/src/test/scala/org/apache/spark/sql/connector/catalog/LookupCatalogSuite.scala,SPARK-30094,2019-12-02 03:46:00
sql/core/src/main/scala/org/apache/spark/sql/catalyst/analysis/ResolveSessionCatalog.scala,SPARK-30094,2019-12-02 03:46:00
sql/core/src/main/scala/org/apache/spark/sql/execution/QueryExecution.scala,SPARK-30099,2019-12-02 09:06:00
resource-managers/kubernetes/docker/src/main/dockerfiles/spark/bindings/R/Dockerfile,SPARK-30111,2019-12-03 18:20:00
resource-managers/kubernetes/docker/src/main/dockerfiles/spark/bindings/python/Dockerfile,SPARK-30111,2019-12-03 18:20:00
build/sbt-launch-lib.bash,SPARK-30121,2019-12-04 11:22:00
build/sbt,SPARK-30121,2019-12-04 11:22:00
common/network-shuffle/src/test/java/org/apache/spark/network/sasl/SaslIntegrationSuite.java,SPARK-30129,2019-12-04 17:36:00
common/network-common/src/main/java/org/apache/spark/network/crypto/AuthRpcHandler.java,SPARK-30129,2019-12-04 17:36:00
common/network-common/src/main/java/org/apache/spark/network/crypto/AuthClientBootstrap.java,SPARK-30129,2019-12-04 17:36:00
sql/core/src/test/scala/org/apache/spark/sql/execution/DataSourceScanExecRedactionSuite.scala,SPARK-30162,2019-12-07 07:30:00
sql/core/src/main/scala/org/apache/spark/sql/execution/datasources/v2/parquet/ParquetScan.scala,SPARK-30162,2019-12-07 07:30:00
project/SparkBuild.scala,SPARK-30164,2019-12-07 22:37:00
repl/src/test/scala/org/apache/spark/repl/ReplSuite.scala,SPARK-30167,2019-12-08 14:45:00
core/src/main/scala/org/apache/spark/internal/Logging.scala,SPARK-30167,2019-12-08 14:45:00
core/src/test/scala/org/apache/spark/internal/LoggingSuite.scala,SPARK-30167,2019-12-08 14:45:00
sql/hive-thriftserver/src/test/scala/org/apache/spark/sql/hive/thriftserver/HiveThriftServer2Suites.scala,SPARK-30179,2019-12-09 06:55:00
core/src/main/java/org/apache/spark/unsafe/map/BytesToBytesMap.java,SPARK-30198,2019-12-10 06:12:00
streaming/src/test/scala/org/apache/spark/streaming/CheckpointSuite.scala,SPARK-30199,2019-12-10 06:12:00
streaming/src/main/scala/org/apache/spark/streaming/Checkpoint.scala,SPARK-30199,2019-12-10 06:12:00
sql/hive/src/main/scala/org/apache/spark/sql/hive/HiveInspectors.scala,SPARK-30201,2019-12-10 11:11:00
sql/hive/src/main/scala/org/apache/spark/sql/hive/execution/HiveFileFormat.scala,SPARK-30201,2019-12-10 11:11:00
sql/hive/src/test/scala/org/apache/spark/sql/hive/InsertSuite.scala,SPARK-30201,2019-12-10 11:11:00
dev/deps/spark-deps-hadoop-2.7-hive-2.3,SPARK-30228,2019-12-12 02:03:00
dev/deps/spark-deps-hadoop-2.7-hive-1.2,SPARK-30228,2019-12-12 02:03:00
