File,LinesCount,LinesAvgLength,LineCodeProportion,LineBlankProportion,TypesCount,ClassProportion,TraitProportion,MaxChildren,MethodCount,PrivateMethodProportion,ProtectedMethodProportion,MethodOverrideProportion,FinalMethodProportion,VarLocalCount,VarFieldCount,MagicNumbersCount
core/src/test/scala/org/apache/spark/deploy/SparkSubmitUtilsSuite.scala,274,41,0.8467153284671532,0.09854014598540146,2,1.0,0.0,1,3,0.0,0.0,0.6666666666666666,0.0,0,3,1
core/src/test/scala/org/apache/spark/deploy/StandaloneDynamicAllocationSuite.scala,659,38,0.8755690440060698,0.06980273141122914,2,1.0,0.0,1,14,0.7857142857142857,0.0,0.21428571428571427,0.0,0,10,29
core/src/test/scala/org/apache/spark/deploy/client/AppClientSuite.scala,238,33,0.7689075630252101,0.14705882352941177,3,1.0,0.0,1,14,0.35714285714285715,0.0,0.21428571428571427,0.0,0,5,4
core/src/test/scala/org/apache/spark/deploy/client/TestExecutor.scala,29,35,0.41379310344827586,0.06896551724137931,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,1
core/src/test/scala/org/apache/spark/deploy/history/ApplicationCacheSuite.scala,383,34,0.7441253263707572,0.1227154046997389,2,1.0,0.0,2,10,0.0,0.0,0.3,0.0,1,4,22
core/src/test/scala/org/apache/spark/deploy/history/EventLogFileCompactorSuite.scala,335,42,0.7731343283582089,0.18208955223880596,4,0.75,0.0,2,9,0.4444444444444444,0.0,0.4444444444444444,0.0,1,0,4
core/src/test/scala/org/apache/spark/deploy/history/EventLogFileReadersSuite.scala,347,38,0.7723342939481268,0.1844380403458213,3,1.0,0.0,2,14,0.0,0.8571428571428571,0.5714285714285714,0.0,3,2,2
core/src/test/scala/org/apache/spark/deploy/history/EventLogFileWritersSuite.scala,378,36,0.753968253968254,0.1984126984126984,3,1.0,0.0,2,10,0.1,0.7,0.4,0.0,0,2,2
core/src/test/scala/org/apache/spark/deploy/history/EventLogTestHelper.scala,112,34,0.7232142857142857,0.11607142857142858,1,0.0,0.0,0,7,0.0,0.0,0.0,0.0,0,0,0
core/src/test/scala/org/apache/spark/deploy/history/FsHistoryProviderSuite.scala,1566,37,0.8243933588761175,0.1615581098339719,5,1.0,0.0,2,22,0.5,0.0,0.22727272727272727,0.0,5,9,70
core/src/test/scala/org/apache/spark/deploy/history/HistoryServerDiskManagerSuite.scala,161,31,0.7142857142857143,0.19254658385093168,1,1.0,0.0,1,2,1.0,0.0,0.0,0.0,0,2,6
core/src/test/scala/org/apache/spark/deploy/history/HistoryServerSuite.scala,791,37,0.820480404551201,0.1415929203539823,4,0.5,0.0,1,31,0.03225806451612903,0.0,0.16129032258064516,0.0,2,3,2
core/src/test/scala/org/apache/spark/deploy/master/CustomRecoveryModeFactory.scala,104,32,0.5576923076923077,0.16346153846153846,5,0.6,0.0,1,5,0.0,0.0,1.0,0.0,0,5,0
core/src/test/scala/org/apache/spark/deploy/master/MasterSuite.scala,922,38,0.8655097613882863,0.11822125813449023,6,0.6666666666666666,0.0,2,28,0.5357142857142857,0.0,0.35714285714285715,0.0,0,10,139
core/src/test/scala/org/apache/spark/deploy/master/PersistenceEngineSuite.scala,127,38,0.7559055118110236,0.12598425196850394,1,1.0,0.0,1,2,1.0,0.0,0.0,0.0,0,0,4
core/src/test/scala/org/apache/spark/deploy/master/ui/MasterWebUISuite.scala,115,35,0.6869565217391305,0.1565217391304348,1,1.0,0.0,1,4,0.5,0.0,0.5,0.0,0,0,0
core/src/test/scala/org/apache/spark/deploy/rest/StandaloneRestSubmitSuite.scala,658,45,0.8495440729483282,0.07598784194528875,7,1.0,0.0,1,18,0.6666666666666666,0.0,0.3333333333333333,0.0,0,3,2
core/src/test/scala/org/apache/spark/deploy/rest/SubmitRestProtocolSuite.scala,327,38,0.8807339449541285,0.0672782874617737,3,1.0,0.0,1,2,0.5,0.0,0.5,0.0,0,4,4
core/src/test/scala/org/apache/spark/deploy/security/HadoopDelegationTokenManagerSuite.scala,148,39,0.7635135135135135,0.13513513513513514,3,0.6666666666666666,0.0,1,4,0.0,0.0,1.0,0.0,0,2,0
core/src/test/scala/org/apache/spark/deploy/worker/DriverRunnerTest.scala,210,34,0.7380952380952381,0.19047619047619047,1,1.0,0.0,1,3,1.0,0.0,0.0,0.0,0,0,14
core/src/test/scala/org/apache/spark/deploy/worker/WorkerSuite.scala,378,38,0.8650793650793651,0.09523809523809523,1,1.0,0.0,1,7,0.42857142857142855,0.0,0.2857142857142857,0.0,0,2,8
core/src/test/scala/org/apache/spark/deploy/worker/ui/LogPageSuite.scala,88,38,0.7159090909090909,0.11363636363636363,1,1.0,0.0,1,1,1.0,0.0,0.0,0.0,0,0,6
core/src/test/scala/org/apache/spark/executor/CoarseGrainedExecutorBackendSuite.scala,371,40,0.8221024258760108,0.13746630727762804,1,1.0,0.0,1,4,0.75,0.0,0.0,0.0,4,1,14
core/src/test/scala/org/apache/spark/executor/ExecutorSuite.scala,619,43,0.875605815831987,0.09046849757673667,8,0.75,0.0,2,22,0.36363636363636365,0.13636363636363635,0.5454545454545454,0.0,1,6,12
core/src/test/scala/org/apache/spark/executor/TaskMetricsSuite.scala,247,33,0.8623481781376519,0.06477732793522267,2,0.5,0.0,1,1,0.0,0.0,0.0,0.0,0,0,49
core/src/test/scala/org/apache/spark/input/WholeTextFileInputFormatSuite.scala,91,35,0.6043956043956044,0.16483516483516483,2,0.5,0.0,1,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0,1,5
