Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,SPARK-34103,13352113,Fix MiMaExcludes by moving SPARK-23429 from 2.4.x to 3.0.x,dongjoon,dongjoon,Major,Resolved,Fixed,13/Jan/21 22:31,18/Jan/21 07:38,
Bug,SPARK-31693,13304470,Investigate AmpLab Jenkins server network issue,shaneknapp,dongjoon,Critical,Closed,Fixed,12/May/20 22:56,14/Jan/21 19:06,
Bug,SPARK-34107,13352134,Spark History not loading when service has to load 300k applications initially from S3,,spedamallu,Major,Resolved,Duplicate,14/Jan/21 02:52,14/Jan/21 08:21,
Bug,SPARK-34085,13351732,History server missing failed stage,,yumwang,Major,Resolved,Invalid,12/Jan/21 10:29,13/Jan/21 02:43,
Bug,SPARK-32691,13324259,Update commons-crypto to v1.1.0,huangtianhua,huangtianhua,Major,Resolved,Fixed,24/Aug/20 12:04,12/Jan/21 21:18,
Bug,SPARK-34091,13351783,Shuffle batch fetch can't be disabled once it's enabled previously,Ngone51,Ngone51,Major,Resolved,Fixed,12/Jan/21 13:31,12/Jan/21 15:46,
Bug,SPARK-31952,13310597,The metric of MemoryBytesSpill is incorrect when doing Aggregate,Ngone51,EdisonWang,Minor,Resolved,Fixed,10/Jun/20 08:34,12/Jan/21 05:28,
Bug,SPARK-33635,13343823,Performance regression in Kafka read,kabhwan,david.wyles,Blocker,Resolved,Fixed,02/Dec/20 16:54,07/Jan/21 03:13,
Bug,SPARK-33029,13330018,Standalone mode blacklist executors page UI marks driver as blacklisted,Baohe Zhang,tgraves,Major,Resolved,Fixed,29/Sep/20 18:51,07/Jan/21 03:13,
Bug,SPARK-34020,13350580,IndexOutOfBoundsException on merge of two pyspark frames,,darshats,Major,Resolved,Invalid,06/Jan/21 04:17,06/Jan/21 05:08,
Bug,SPARK-31519,13300231,Cast in having aggregate expressions returns the wrong result,XuanYuan,XuanYuan,Blocker,Resolved,Fixed,22/Apr/20 09:56,05/Jan/21 23:51,
Bug,SPARK-33958,13348709,"spark sql DoubleType(0 * (-1))  return ""-0.0""",,AlberyZJG,Minor,Resolved,Not A Problem,02/Jan/21 09:05,04/Jan/21 09:50,
Bug,SPARK-33942,13348456,Wrong metrics information in Spark Monitoring Documentation,coderbond007,coderbond007,Minor,Resolved,Fixed,30/Dec/20 10:46,31/Dec/20 01:28,
Bug,SPARK-33871,13347208,Cannot access to column after left semi join  and left join,,ses999,Minor,Resolved,Not A Problem,21/Dec/20 21:09,29/Dec/20 12:47,
Bug,SPARK-30555,13280180,MERGE INTO insert action should only access columns from source table,cloud_fan,cloud_fan,Major,Resolved,Fixed,17/Jan/20 16:33,26/Dec/20 11:46,
Bug,SPARK-30803,13284950,Fix the home page link to Scala API document,XuanYuan,dongjoon,Blocker,Resolved,Fixed,13/Feb/20 01:19,24/Dec/20 03:46,
Bug,SPARK-33853,13346959,EXPLAIN CODEGEN and BenchmarkQueryTest don't show subquery code,sarutak,sarutak,Major,Resolved,Fixed,19/Dec/20 21:35,21/Dec/20 11:30,
Bug,SPARK-33795,13346091,gapply fails execution with rbind error,,n8shdw,Major,Resolved,Invalid,15/Dec/20 11:50,21/Dec/20 10:22,
Bug,SPARK-33756,13345477,BytesToBytesMap's iterator hasNext method should be idempotent.,advancedxy,advancedxy,Minor,Resolved,Fixed,11/Dec/20 09:49,20/Dec/20 14:52,
Bug,SPARK-33841,13346790,Jobs disappear intermittently from the SHS under high load,vladglinskiy,vladglinskiy,Major,Resolved,Fixed,18/Dec/20 13:01,18/Dec/20 23:20,
Bug,SPARK-33774,13345794,"""Back to Master"" returns 500 error in Standalone cluster",Ngone51,Ngone51,Major,Resolved,Fixed,14/Dec/20 08:17,17/Dec/20 14:52,
